session_no,category,semantic_jump,ciie_triggered,speed_burst,judge_score,elapsed_sec
1,creative,0.1513,True,True,0.75,22.2
2,creative,0.0418,False,True,0.75,16.3
3,creative,0.083,True,True,0.75,31.9
4,research,0.1917,True,True,0.95,27.9
5,research,0.1162,True,True,0.7000000000000001,30.7
6,research,0.1794,True,True,0.75,18.0
7,analysis,0.04,False,True,0.7000000000000001,33.5
8,analysis,0.0301,False,True,0.9,28.8
9,analysis,0.1026,True,True,0.75,25.7
10,legal,0.0338,False,True,0.95,31.6
11,legal,0.2146,True,True,,38.8
11,legal,0.3129,True,True,0.65,
12,legal,0.0488,False,True,0.65,
13,technical,0.17,True,True,0.95,
14,technical,0.1843,True,True,0.95,
15,technical,0.126,True,True,0.65,
16,creative,0.1145,True,True,0.75,
17,creative,0.1203,True,True,0.95,
18,creative,0.1934,True,True,0.95,
19,creative,0.1001,True,True,0.75,
20,creative,0.1243,True,True,0.75,
21,creative,0.0985,True,True,0.75,
22,creative,0.0976,True,True,0.95,
23,research,0.0818,True,True,0.65,
24,research,0.192,True,True,0.65,
25,research,0.1154,True,True,0.75,
26,research,0.1758,True,True,0.75,
27,research,0.0832,True,True,0.95,
28,research,0.2185,True,True,0.7000000000000001,
29,research,0.0429,False,True,0.65,
30,analysis,0.0854,True,True,0.75,
31,analysis,0.0649,True,True,0.7000000000000001,
32,analysis,0.0784,True,True,0.7000000000000001,
33,analysis,0.0525,False,True,1.0,
34,analysis,0.3606,True,True,0.75,
35,analysis,0.4038,True,True,0.65,
36,analysis,0.0928,True,True,0.75,
37,legal,0.0401,False,True,,
38,legal,0.2241,True,True,0.95,
39,legal,0.0575,True,True,0.95,
40,legal,0.0741,True,True,0.75,
41,legal,0.0334,False,True,0.65,
42,legal,0.1271,True,True,0.75,
43,legal,0.0925,True,True,0.75,
44,technical,0.1487,True,True,0.65,
45,technical,0.047,False,True,0.65,
46,technical,0.014,False,True,0.65,
47,technical,0.0816,True,True,0.65,
48,technical,0.1047,True,True,0.75,
49,technical,0.2151,True,True,0.95,
50,technical,0.1152,True,True,1.0,
